,HYG,SPY,TLT,^VIX,IG_Spread
2022-09-19,60.94260025024414,371.7923889160156,94.15138244628906,25.760000228881836,4.88
2022-09-20,60.32072448730469,367.5247802734375,93.21263885498047,27.15999984741211,4.88
2022-09-21,60.14073944091797,361.1137390136719,94.77426147460938,27.989999771118164,4.87
2022-09-22,59.78068923950195,358.0804443359375,92.3529052734375,27.350000381469727,4.91
2022-09-23,59.019737243652344,352.0807800292969,92.73017120361328,29.920000076293945,5.12
2022-09-26,58.324214935302734,348.5977783203125,90.95803833007812,32.2599983215332,5.18
2022-09-27,58.201473236083984,347.7078857421875,88.56300354003906,32.599998474121094,5.22
2022-09-28,59.24065017700195,354.5495300292969,91.52823638916016,30.18000030517578,5.47
2022-09-29,58.68426513671875,347.1433410644531,91.05451202392578,31.84000015258789,5.5
2022-09-30,58.414249420166016,341.7752990722656,89.87894439697266,31.6200008392334,5.43
2022-10-03,59.17979049682617,350.79864501953125,91.30706024169922,30.100000381469727,5.43
2022-10-04,60.45433807373047,361.6686706542969,91.05204010009766,29.06999969482422,5.12
2022-10-05,60.215858459472656,360.8265686035156,90.18146514892578,28.549999237060547,5.09
2022-10-06,60.03497314453125,357.1044006347656,89.68021392822266,30.520000457763672,4.95
2022-10-07,59.30312728881836,347.1433410644531,88.80962371826172,31.360000610351562,5.02
2022-10-10,58.579524993896484,344.4928283691406,87.42894744873047,32.45000076293945,5.03
2022-10-11,58.76041793823242,342.3111877441406,87.81590270996094,33.630001068115234,5.25
2022-10-12,58.85909652709961,341.18206787109375,88.2468032836914,33.56999969482422,5.31
2022-10-13,58.99066925048828,350.18621826171875,87.4025650024414,31.940000534057617,5.25
2022-10-14,58.80153274536133,342.20587158203125,86.68148040771484,32.02000045776367,5.15
2022-10-17,59.52513885498047,350.9995422363281,86.25936889648438,31.3700008392334,5.04
2022-10-18,59.94451141357422,355.1236572265625,86.46163940429688,30.5,4.95
2022-10-19,59.3688850402832,352.60711669921875,84.88751983642578,30.760000228881836,4.97
2022-10-20,59.040008544921875,349.65032958984375,83.43650817871094,29.979999542236328,4.89
2022-10-21,59.60738754272461,358.1473693847656,81.93276977539062,29.690000534057617,4.99
2022-10-24,59.64848709106445,362.52984619140625,81.25564575195312,29.850000381469727,4.91
2022-10-25,60.22408676147461,368.31890869140625,83.62118530273438,28.459999084472656,4.88
2022-10-26,60.388545989990234,365.54400634765625,84.82595825195312,27.280000686645508,4.8
2022-10-27,60.83259582519531,363.592041015625,85.71412658691406,27.389999389648438,4.76
2022-10-28,61.301292419433594,372.2421569824219,85.1249771118164,25.75,4.54
2022-10-31,60.38032531738281,369.55328369140625,84.51817321777344,25.8799991607666,4.63
2022-11-01,60.743499755859375,367.9361877441406,85.30805969238281,25.809999465942383,4.61
2022-11-02,60.19047164916992,358.702392578125,84.93780517578125,25.860000610351562,4.62
2022-11-03,59.76124954223633,355.00885009765625,84.47937774658203,25.299999237060547,4.81
2022-11-04,60.17395782470703,360.1185607910156,83.06007385253906,24.549999237060547,4.77
2022-11-07,60.16569519042969,363.5633239746094,82.23143768310547,24.350000381469727,4.71
2022-11-08,60.10795593261719,365.5248718261719,83.13060760498047,25.540000915527344,4.79
2022-11-09,59.38982009887695,357.9942932128906,83.40389251708984,26.09000015258789,4.99
2022-11-10,61.23876953125,377.6676025390625,86.61274719238281,23.530000686645508,4.8
2022-11-11,61.453365325927734,381.32275390625,86.29541015625,22.520000457763672,4.81
2022-11-14,60.99938201904297,378.0789794921875,86.08383178710938,23.729999542236328,4.67
2022-11-15,61.53593826293945,381.30364990234375,87.4766845703125,24.540000915527344,4.64
2022-11-16,61.403865814208984,378.3948669433594,89.38967895507812,24.110000610351562,4.71
2022-11-17,61.13973617553711,377.2369689941406,88.44638061523438,23.93000030517578,4.75
2022-11-18,61.27179718017578,378.9498291015625,87.83811950683594,23.1200008392334,4.65
2022-11-21,61.247013092041016,377.57183837890625,88.2083511352539,22.360000610351562,4.64
2022-11-22,61.6927490234375,382.6528625488281,89.4601821899414,21.290000915527344,4.57
2022-11-23,62.03944396972656,385.064208984375,91.02053833007812,20.350000381469727,4.51
2022-11-24,,,,,4.51
2022-11-25,61.915645599365234,384.97808837890625,90.71199035644531,20.5,4.52
